,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,Unnamed: 6
27,FEBRUARY,9,Monster Family,Viva Pictures,"Holger Tappe (director); David Safier, Catharine Junk (screenplay); Emily Watson, Jason Isaacs, Nick Frost, Jessica Brown Findlay, Celia Imrie, Catherine Tate",[29],
28,FEBRUARY,9,Golden Exits,Vertical Entertainment,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",[30],
29,FEBRUARY,16,Black Panther,Marvel Studios,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",[31],
30,FEBRUARY,16,Early Man,Summit Entertainment / StudioCanal / Aardman Animations,"Nick Park (director); Mark Burton, John O'Farrell (screenplay); Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall",[32],
31,FEBRUARY,16,Loveless,Sony Pictures Classics,"Andrey Zvyagintsev (director); Oleg Negin, Andrey Zvyagintsev (screenplay); Maryana Spivak, Alexei Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keišs",[33],
32,FEBRUARY,16,The Party,Roadside Attractions,"Sally Potter (director/screenplay); Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Emily Mortimer, Cillian Murphy, Bruno Ganz",[34],
33,FEBRUARY,16,Nostalgia,Bleecker Street,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Nick Offerman, Amber Tamblyn, Patton Oswalt, Catherine Keener, Ellen Burstyn, Bruce Dern, John Ortiz, James LeGros",[35],
34,FEBRUARY,16,Black '47,Fastnet Films / Samsa Films / UMedia / Altitude Film,"Lance Daly (director); PJ Dillon, Pierce Ryan, Eugene O'Brien, & Lance Daly (screenplay); Hugo Weaving, Jim Broadbent, Stephen Rea, Freddie Fox, Moe Dunford, James Frecheville, Sarah Greene, Barry Keoghan",[36],
35,FEBRUARY,16,Samson,Pure Flix,"Bruce Macdonald (director); Timothy Ratajczak, Jason Baumgardner (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner",[37],
36,FEBRUARY,23,Game Night,Warner Bros. Pictures / New Line Cinema,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall",[38],
37,FEBRUARY,23,Annihilation,Paramount Pictures / Netflix / Skydance Media / DNA Films,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",[39],
38,FEBRUARY,23,Every Day,Orion Pictures,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith, Lucas Jade Zumann",[40],
39,FEBRUARY,23,The Cured,IFC Films,"David Freyne (director); Ellen Page, Sam Keeley, Tom Vaughan-Lawlor",[41],
40,FEBRUARY,23,The Lodgers,Epic Pictures Group,"Brian O'Malley (director); David Turpin (screenplay); Charlotte Vega, Bill Milner, Eugene Simon, David Bradley, Deirdre O'Kane, Moe Dunford",[42],
41,MARCH,2,Red Sparrow,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling, Mary-Louise Parker, Jeremy Irons",[43],
42,MARCH,2,Death Wish,Metro-Goldwyn-Mayer,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Dean Norris, Kimberly Elise, Mike Epps, Elisabeth Shue, Camila Morrone",[44],
43,MARCH,2,The Vanishing of Sidney Hall,A24,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler",[45],
44,MARCH,2,Foxtrot,Sony Pictures Classics,"Samuel Maoz (director/screenplay); Lior Ashkenazi, Sarah Adler, Yonatan Shiray",[46],
45,MARCH,2,Pickings,Digital Magic Entertainment,"Usher Morgan (director/screenplay); Elyse Price, Joel Bernard, Katie Vincent, Joe Trombino",[47],
46,MARCH,9,A Wrinkle in Time,Walt Disney Pictures,"Ava DuVernay (director); Jennifer Lee (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis",[48],
47,MARCH,9,Gringo,Amazon Studios / STX Entertainment,"Nash Edgerton (director); Anthony Tambakis, Matthew Stone (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandie Newton, Sharlto Copley",[49],
48,MARCH,9,Thoroughbreds,Focus Features,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift",[50],
49,MARCH,9,The Death of Stalin,IFC Films,"Armando Iannucci (director/screenplay); Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor",[51],
50,MARCH,9,The Leisure Seeker,Sony Pictures Classics,"Paolo Virzì (director/screenplay); Francesca Archibugi, Francesco Piccolo, Stephen Amidon (screenplay); Donald Sutherland, Helen Mirren",[52],
51,MARCH,9,The Strangers: Prey at Night,Aviron Pictures / Rogue,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",[53],
52,MARCH,9,The Hurricane Heist,Entertainment Studios,"Rob Cohen (director/screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Melissa Bolona, Ralph Ineson",[54],
53,MARCH,16,Tomb Raider,Warner Bros. Pictures / GK Films / Metro-Goldwyn-Mayer,"Roar Uthaug (director); Geneva Robertson-Dworet (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Nick Frost, Hannah John-Kamen",[55],
54,MARCH,16,"Love, Simon",20th Century Fox / Fox 2000 Pictures / TSG Entertainment,"Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Miles Heizer, Keiynan Lonsdale, Logan Miller, Jennifer Garner, Josh Duhamel, Tony Hale",[56],
55,MARCH,16,I Can Only Imagine,Roadside Attractions / Lionsgate,"Jon Erwin (director/screenplay); Andrew Erwin (co-director), Alex Cramer, Brent McCorkle (screenplay); Cloris Leachman, Dennis Quaid, Priscilla Shirer, Madeline Carroll, J. Michael Finley, Trace Adkins",[57],
56,MARCH,16,7 Days in Entebbe,Focus Features / StudioCanal / Participant Media / Working Title Films,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Vincent Cassel, Eddie Marsan, Ben Schnetzer",[58],
57,MARCH,16,Furlough,IFC Films,"Laurie Collyer (director); Barry Strugatz (screenplay); Melissa Leo, Tessa Thompson, La La Anthony, Whoopi Goldberg, Anna Paquin",[59],
58,MARCH,16,Josie,Screen Media Films,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer",[60],
59,MARCH,16,Flower,The Orchard,"Max Winkler (director), Alex McAulay (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Joey Morgan, Adam Scott",[61],
60,MARCH,23,Pacific Rim: Uprising,Universal Pictures / Legendary Pictures,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T.S. Nowlin (screenplay); John Boyega, Scott Eastwood, Cailee Spaeny, Charlie Day, Burn Gorman, Rinko Kikuchi, Jing Tian, Adria Arjona, Zhang Jin",[62],
61,MARCH,23,Isle of Dogs,Fox Searchlight Pictures / Indian Paintbrush,"Wes Anderson (director/screenplay); Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Bob Balaban, Greta Gerwig, Frances McDormand, Courtney B. Vance, Fisher Stevens, Harvey Keitel, Liev Schreiber, Scarlett Johansson, Tilda Swinton, F. Murray Abraham, Frank Wood",[63],
62,MARCH,23,Sherlock Gnomes,Paramount Pictures / Paramount Animation / Metro-Goldwyn-Mayer,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Johnny Depp, Chiwetel Ejiofor, Mary J. Blige, Michael Caine, Maggie Smith, Ashley Jensen, Matt Lucas, Stephen Merchant, Julie Walters, Richard Wilson",[64],
63,MARCH,23,Unsane,Bleecker Street / Regency Enterprises,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving",[65],
64,MARCH,23,"Paul, Apostle of Christ",Affirm Films,"Andrew Hyatt (director/screenplay); James Faulkner, Jim Caviezel, Olivier Martinez, Joanne Whalley, John Lynch",[66],
65,MARCH,23,Final Portrait,Sony Pictures Classics,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud",[67],
66,MARCH,23,Midnight Sun,Global Road Entertainment,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard",[68],
67,MARCH,23,Followers,Synkronized Films,"Ryan Justice (director/screenplay); Ian Longen, Jason Henne (screenplay); Amanda Delaney, Justin Maina, Sean Michael Gloria, Nishant Gogna, David E. McMahon",[69],
