,Title,Production company,Cast and crew,genres
248,Anna and the Apocalypse,Orion Pictures,"John McPhail (director); Alan McDonald, Ryan McHenry (screenplay); Ella Hunt, Malcolm Cumming, Marli Siu, Sarah Swire, Christopher Leveaux, Ben Wiggins",Horror Comedy Fantasy
249,4,Capernaum,Sony Pictures Classics,Adventure Animation Comedy Family Fantasy
250,Mary Queen of Scots,Focus Features / Working Title Films,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce",Drama History
251,Ben Is Back,LD Entertainment / Lionsgate / Roadside Attractions,"Peter Hedges (director/screenplay); Lucas Hedges, Julia Roberts, Kathryn Newton, Courtney B. Vance",Drama
252,Spider-Man: Into the Spider-Verse,Columbia Pictures / Marvel Entertainment / Sony Pictures Animation,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Luna Lauren Velez, Lily Tomlin, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine",Action Adventure Animation Science Fiction Comedy
253,Mortal Engines,Universal Pictures / Media Rights Capital / WingNut Films,"Christian Rivers (director); Peter Jackson, Fran Walsh, Philippa Boyens (screenplay); Hugo Weaving, Hera Hilmar, Robert Sheehan, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang",Adventure Fantasy
254,The Mule,Warner Bros. Pictures,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy Garcia",Crime Drama Thriller
255,If Beale Street Could Talk,Annapurna Pictures / Plan B Entertainment,"Barry Jenkins (director/screenplay); Kiki Layne, Stephan James, Teyonah Parris, Regina King, Dave Franco, Ed Skrein, Diego Luna, Emily Rios",Drama Romance
256,Mary Poppins Returns,Walt Disney Pictures,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep, Dick Van Dyke, Angela Lansbury",Fantasy Family Comedy
257,Aquaman,Warner Bros. Pictures / DC Films,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Ludi Lin, Temuera Morrison, Nicole Kidman",Action Adventure Fantasy
258,Bumblebee,Paramount Pictures / Allspark Pictures / Tencent Pictures,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon, Dylan O'Brien, Angela Bassett, Justin Theroux, Peter Cullen",Action Adventure Science Fiction
259,Welcome to Marwen,Universal Pictures / DreamWorks Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Falk Hentschel, Janelle Monáe, Eiza Gonzalez, Gwendoline Christie",Drama Comedy Fantasy
260,Second Act,STX Entertainment,"Peter Segal (director); Elaine Goldsmith-Thomas, Justin Zackham (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia",Romance Comedy
261,Cold War,Amazon Studios,"Paweł Pawlikowski (director); Paweł Pawlikowski, Janusz Głowacki (screenplay); Joanna Kulig, Tomasz Kot, Agata Kulesza",Animation
262,Holmes & Watson,Columbia Pictures / Gary Sanchez Productions,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Ralph Fiennes, Rob Brydon, Kelly Macdonald, Steve Coogan, Lauren Lapkus, Pam Ferris, Hugh Laurie",Mystery Adventure Comedy Crime
263,Vice,Annapurna Pictures / Plan B Entertainment,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons",Drama History Comedy
264,On the Basis of Sex,Focus Features,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Jack Reynor, Cailee Spaeny, Sam Waterston, Kathy Bates",Drama History
265,Destroyer,Annapurna Pictures,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy",Thriller Crime Drama Action
266,Black Mirror: Bandersnatch,Netflix,"David Slade (director); Charlie Brooker (screenplay); Fionn Whitehead, Will Poulter, Asim Chaudhry, Craig Parkinson, Alice Lowe, Tallulah Haddon, Catriona Knox, Jonathan Aris",Science Fiction Mystery Drama Thriller TV Movie
