,Opening,Opening.1,Title,Production company,Cast and crew,Ref.
121,AUGUST,21,Words on Bathroom Walls,LD Entertainment,"Thor Freudenthal (director); Nick Naveda (screenplay); AnnaSophia Robb, Charlie Plummer, Taylor Russell, Andy García, Walton Goggins",[121]
122,AUGUST,26,Tenet,Warner Bros. Pictures / Syncopy Inc.,"Christopher Nolan (director/screenplay); John David Washington, Robert Pattinson, Elizabeth Debicki, Dimple Kapadia, Martin Donovan, Fiona Dourif, Yuri Kolokolnikov, Himesh Patel, Clémence Poésy, Aaron Taylor-Johnson, Michael Caine, Kenneth Branagh",[122]
123,AUGUST,28,Bill & Ted Face the Music,Orion Pictures,"Dean Parisot (director); Chris Matheson, Ed Solomon (screenplay); Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, Anthony Carrigan, Erinn Hayes, Jayma Mays, Holland Taylor, Kid Cudi, William Sadler, Jillian Bell",[123]
124,AUGUST,28,The Binge,Hulu,"Jeremy Garelick (director); Jordan VanDina (screenplay); Skyler Gisondo, Eduardo Franco, Dexter Darden, Vince Vaughn,",[124]
125,AUGUST,28,The New Mutants,20th Century Studios / Marvel Entertainment,"Josh Boone (director/screenplay); Knate Lee (screenplay); Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga, Blu Hunt, Henry Zaga, Adam Beach",[125]
126,AUGUST,28,The Personal History of David Copperfield,Searchlight Pictures / FilmNation Entertainment / Film4,"Armando Iannucci (director/screenplay); Simon Blackwell (screenplay); Dev Patel, Aneurin Barnard, Peter Capaldi, Morfydd Clark, Daisy May Cooper, Rosalind Eleazar, Hugh Laurie, Tilda Swinton, Ben Whishaw, Paul Whitehouse",[126]
127,AUGUST,28,I'm Thinking of Ending Things,Netflix / Likely Story,"Charlie Kaufman (director/screenplay); Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis",[127]
128,AUGUST,28,Phineas and Ferb the Movie: Candace Against the Universe,Disney Television Animation / Disney+,"Bob Bowen (director); Dan Povenmire, Jeff ""Swampy"" Marsh, Jon Colton Barry, Jim Bernstein, Joshua Pruett (screenplay); Vincent Martella, Ashley Tisdale, David Errigo Jr., Dee Bradley Baker, Dan Povenmire, Caroline Rhea, Jeff ""Swampy"" Marsh, Alyson Stoner",[128]
129,AUGUST,28,All Together Now,Netflix,"Brett Haley (director); Matthew Quick, Matt Basch (screenplay); Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett",[129]
130,AUGUST,28,Rogue,Lionsgate,"M. J. Bassett (director/screenplay); Isabel Bassett (screenplay); Megan Fox, Philip Winchester",[130]
131,AUGUST,28,Centigrade,IFC Midnight,"Brendan Walsh (director/screenplay); Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",[131]
132,SEPTEMBER,3,"Love, Guaranteed",Netflix,"Mark Steven Johnson (director); Elizabeth Hackett, Hilary Galanoy (screenplay); Rachael Leigh Cook, Damon Wayans Jr.",[132]
133,SEPTEMBER,4,Mulan,Walt Disney Pictures / Disney+,"Niki Caro (director); Rick Jaffa, Amanda Silver, Laura Hynek, Elizabeth Martin (screenplay); Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li",[133]
134,SEPTEMBER,4,Critical Thinking,Vertical Entertainment,"John Leguizamo (director); Dito Montiel (screenplay); John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams",[134]
135,SEPTEMBER,4,The Owners,RLJE Films / Wild Bunch / XYZ Films,"Julius Berg (director/screenplay); Mathieu Gompel (screenplay); Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran, Andrew Ellis, Ian Kenny",[135]
136,SEPTEMBER,10,The Babysitter: Killer Queen,Netflix,"McG (director/screenplay); Dan Lagana (screenplay); Judah Lewis, Emily Alyn Lind, Jenna Ortega, Robbie Amell, Bella Thorne, Samara Weaving",[136]
137,SEPTEMBER,10,Unpregnant,HBO Max,"Rachel Lee Goldenberg (director/screenplay); Ted Caplan, Jenni Hendriks, Jennifer Kaytin Robinson, William Parker (screenplay); Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll, Breckin Meyer, Giancarlo Esposito",[137]
138,SEPTEMBER,11,The Devil All the Time,Netflix / Nine Stories Productions,"Antonio Campos (director/screenplay); Paulo Campos (screenplay); Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Eliza Scanlen, Mia Wasikowska, Robert Pattinson",[138]
139,SEPTEMBER,11,The Broken Hearts Gallery,TriStar Pictures / Stage 6 Films,"Natalie Krinsky (director/screenplay); Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters",[139]
140,SEPTEMBER,11,Rent-A-Pal,IFC Midnight,"Jon Stevenson (director/screenplay); Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf",[140]
141,SEPTEMBER,16,The Secrets We Keep,Bleecker Street,"Yuval Adler (director/screenplay); Ryan Covington (screenplay); Noomi Rapace, Joel Kinnaman, Chris Messina",
142,SEPTEMBER,18,Antebellum,Lionsgate,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",[141]
143,SEPTEMBER,18,The Nest,IFC Films / FilmNation Entertainment,"Sean Durkin (director/screenplay); Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar",[142]
144,SEPTEMBER,18,Blackbird,Screen Media Films / Millennium Films,"Roger Michell (director); Christian Torpe (screenplay); Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill",[143]
145,SEPTEMBER,18,Killian & the Comeback Kids,Hope Runs High,"Taylor A. Purdee (director/screenplay); Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva",[144]
146,SEPTEMBER,23,Enola Holmes,Netflix / Legendary Entertainment,"Harry Bradbeer (director); Jack Thorne (screenplay); Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter",[145]
147,SEPTEMBER,25,The Trial of the Chicago 7,Netflix / Paramount Pictures / DreamWorks Pictures,"Aaron Sorkin (director/screenplay); Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong",[146]
148,SEPTEMBER,25,Ava,Vertical Entertainment / Voltage Pictures,"Tate Taylor (director); Matthew Newton (screenplay); Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen",[147]
149,SEPTEMBER,25,Kajillionaire,Focus Features / Plan B Entertainment / Annapurna Pictures,"Miranda July (director/screenplay); Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez",[148]
150,SEPTEMBER,25,The Last Shift,Stage 6 Films,"Andrew Cohn (director/screenplay); Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill",[149]
151,SEPTEMBER,25,Secret Society of Second-Born Royals,Disney Channel / Disney+,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung",[150]
152,SEPTEMBER,30,The Boys in the Band,Netflix,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",[151]
153,SEPTEMBER,30,The Glorias,Roadside Attractions / LD Entertainment,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler",[152]
154,OCTOBER,2,On the Rocks,Apple TV+ / A24 / American Zoetrope,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate",[153]
155,OCTOBER,2,Spontaneous,Paramount Pictures,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji",[154]
156,OCTOBER,2,Vampires vs. the Bronx,Netflix,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jsden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham",[155]
157,OCTOBER,2,Possessor,Neon / Well Go USA Entertainment,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh",[156]
158,OCTOBER,2,Death of Me,Saban Films,"Darren Lynn Bousman (director); Arli Margolis, James Morley III, David Tish (screenplay); Maggie Q, Alex Essoe, Luke Hemsworth",[157]
159,OCTOBER,2,The Call,Voltage Pictures / Cinedigm,"Timothy Woodward Jr. (director); Patrick Stibbs (screenplay); Lin Shaye, Tobin Bell",[158]
160,OCTOBER,6,The Lie,Amazon Studios / Blumhouse Productions,"Veena Sud (director/screenplay); Mireille Enos, Peter Sarsgaard, Joey King",
161,OCTOBER,6,Black Box,Amazon Studios / Blumhouse Productions,"Emmanuel Osei-Kuffour Jr. (director/screenplay); Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad",
162,OCTOBER,7,Hubie Halloween,Netflix / Happy Madison Productions,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph",[159]
163,OCTOBER,7,Books of Blood,Hulu,"Brannon Braga (director); Adam Simon, Brannon Braga (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez",[160]
164,OCTOBER,8,Charm City Kings,HBO Max / Overbrook Entertainment,"Angel Manuel Soto (director); Sherman Payne (screenplay); Jahi Di'Allo Winston, Meek Mill, Will Catlett, Teyonah Parris",[161]
165,OCTOBER,9,The War with Grandpa,101 Studios / Brookdale Studios,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken",[162]
166,OCTOBER,9,A Rainy Day in New York,MPI Media Group,"Woody Allen (director/screenplay); Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber",[163]
167,OCTOBER,9,Yellow Rose,Stage 6 Films,"Diane Paragas (director/screenplay); Annie J. Howell, Celena Cipriaso (screenplay); Eva Noblezada, Dale Watson, Princess Punzalan, Lea Salonga",[149]
168,OCTOBER,9,The 40-Year-Old Version,Netflix,"Radha Blank (director/screenplay); Radha Blank, Peter Kim, Oswin Benjamin, Reed Birney",[164]
169,OCTOBER,13,Nocturne,Amazon Studios / Blumhouse Productions,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",
170,OCTOBER,13,Evil Eye,Amazon Studios / Blumhouse Productions,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White",
171,OCTOBER,15,A Babysitter's Guide to Monster Hunting,Netflix / Walden Media,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore",[165]
172,OCTOBER,16,Love and Monsters,Paramount Pictures / Entertainment One / 21 Laps Entertainment,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Michael Rooker, Ariana Greenblatt",[166]
173,OCTOBER,16,Honest Thief,Open Road Films / Briarcliff Entertainment,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",[167]
174,OCTOBER,16,The Courier,Lionsgate / Roadside Attractions / FilmNation Entertainment,"Dominic Cooke (director); Tom O’Connor (screenplay); Benedict Cumberbatch, Rachel Brosnahan, Jessie Buckley, Merab Ninidze, Merab Ninidze, Kirill Pirogov, Angus Wright",[168]
175,OCTOBER,16,Clouds,Disney+,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott",[169]
176,OCTOBER,16,The Kid Detective,Stage 6 Films,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland",
177,OCTOBER,16,Alone,Lionsgate,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland",[170]
178,OCTOBER,16,The Opening Act,RLJE Films,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer",
179,OCTOBER,20,Tremors: Shrieker Island,Universal Pictures,"Don Michael Paul (director/screenplay); Brian Brightly (screenplay); Michael Gross, Jon Heder",[171]
180,OCTOBER,22,The Witches,HBO Max / Warner Bros. Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock",[172]
181,OCTOBER,23,Over the Moon,Netflix / Pearl Studio,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh",[173]
182,OCTOBER,23,Borat Subsequent Moviefilm,Amazon Studios,"Jason Woliner (director); Peter Baynham, Sacha Baron Cohen, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja, Dan Swimer (screenplay); Sacha Baron Cohen, Maria Bakalova",
183,OCTOBER,23,After We Collided,Open Road Films / Voltage Pictures,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair",[174]
184,OCTOBER,23,The Empty Man,20th Century Studios,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova",[175]
185,OCTOBER,23,Synchronic,XYZ Films / Well Go USA Entertainment,"Justin Benson, Aaron Moorhead (directors) Justin Benson (screenplay); Anthony Mackie, Jamie Dornan",[176]
186,OCTOBER,23,Bad Hair,Hulu,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox",[177]
187,OCTOBER,23,Friendsgiving,Saban Films,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen",[178]
188,OCTOBER,28,The Craft: Legacy,Columbia Pictures / Blumhouse Productions,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny",[179]
189,OCTOBER,28,Holidate,Netflix,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth",[180]
190,OCTOBER,30,Come Play,Focus Features,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley",[181]
191,OCTOBER,30,His House,Netflix / Regency Enterprises,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith",[182]
192,OCTOBER,30,Spell,Paramount Players,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine",
193,NOVEMBER,6,Jungleland,Vertical Entertainment / Scott Free Productions,"Max Winkler (director/screenplay); Theodore B. Bressman, David Branson Smith (screenplay); Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors, John Cullum",[183]
194,NOVEMBER,6,Let Him Go,Focus Features,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan",[184]
195,NOVEMBER,6,The Informer,Aviron Pictures / Thunder Road Films,"Andrea Di Stefano (director/screenplay); Matt Cook, Rowan Joffe (screenplay); Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen",[185]
196,NOVEMBER,6,The Dark and the Wicked,RLJE Films,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley",[186]
197,NOVEMBER,13,Mank,Netflix,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Charles Dance",[187]
198,NOVEMBER,13,Freaky,Universal Pictures / Blumhouse Productions,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Celeste O'Connor, Misha Osherovich, Uriah Shelton, Alan Ruck",[188]
199,NOVEMBER,13,Jingle Jangle: A Christmas Journey,Netflix,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin",[189]
200,NOVEMBER,13,Dreamland,Vertical Entertainment,"Miles Joris-Peyrafitte (director); Nicolaas Zwart (screenplay); Margot Robbie, Finn Cole, Garrett Hedlund, Travis Fimmel, Kerry Condon, Darby Camp, Lola Kirke",[190]
201,NOVEMBER,13,The Comeback Trail,Cloudburst Entertainment,"George Gallo (director/screenplay); Josh Posner (screenplay); Robert De Niro, Tommy Lee Jones, Morgan Freeman, Zach Braff, Emile Hirsch, Eddie Griffin",[191]
202,NOVEMBER,13,Fatman,Saban Films,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",[192]
203,NOVEMBER,13,The Life Ahead,Netflix,"Edoardo Ponti (director/screenplay); Ugo Chiti (screenplay); Sophia Loren, Ibrahima Gueye, Abril Zamora, Renato Carpentieri, Babak Karimi",[193]
204,NOVEMBER,13,Chick Fight,Quiver Distribution / Redbox,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin",[194]
205,NOVEMBER,20,Sound of Metal,Amazon Studios,"Darius Marder (director/screenplay); Abraham Marder (screenplay); Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",[195]
206,NOVEMBER,20,Jiu Jitsu,The Avenue Entertainment,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage",[196]
207,NOVEMBER,20,Run,Hulu / Lionsgate,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen",[197]
208,NOVEMBER,24,Hillbilly Elegy,Netflix / Imagine Entertainment,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",[198]
209,NOVEMBER,25,The Croods: A New Age,Universal Pictures / DreamWorks Animation,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman",[199]
210,NOVEMBER,25,Happiest Season,Hulu / TriStar Pictures / Entertainment One,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Clea DuVall",[200]
211,NOVEMBER,26,Superintelligence,HBO Max / Warner Bros. Pictures / New Line Cinema / Bron Creative,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden",[201]
212,NOVEMBER,26,Uncle Frank,Amazon Studios / Miramax,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",[202]
213,DECEMBER,4,All My Life,Universal Pictures,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Jay Pharoah, Keala Settle",[203]
214,DECEMBER,4,Nomadland,Searchlight Pictures,"Chloé Zhao (director/screenplay); Frances McDormand, Linda May, Charlene Swankie, Bob Wells, David Strathairn",[204]
215,DECEMBER,11,The Prom,Netflix,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Nicole Kidman, Jo Ellen Pellman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington",[205]
216,DECEMBER,11,I'm Your Woman,Amazon Studios,"Julia Hart (director/screenplay); Jordan Horowitz (screenaply); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison",[206]
217,DECEMBER,11,The Stand-In,Saban Films,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor",[207]
218,DECEMBER,11,Archenemy,Voltage Pictures / RLJE Films,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton",[208]
219,DECEMBER,18,Coming 2 America,Amazon Studios / Paramount Pictures,"Craig Brewer (director); Kenya Barris, Barry W. Blaustein, David Sheffield (screenplay); Eddie Murphy, Jermaine Fowler, Arsenio Hall, Leslie Jones, Shari Headley, John Amos, Tracy Morgan, Wesley Snipes, James Earl Jones",[209]
220,DECEMBER,18,Ma Rainey's Black Bottom,Netflix / Escape Artists,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts",[210]
221,DECEMBER,18,Greenland,STX Films / Thunder Road Films,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, Roger Dale Floyd, David Denman, Hope Davis, Scott Glenn",[211]
222,DECEMBER,23,The Midnight Sky,Netflix / Smokehouse Pictures / Anonymous Content,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall",[212]
223,DECEMBER,25,Wonder Woman 1984,Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen",[213]
224,DECEMBER,25,Soul,Walt Disney Pictures / Pixar Animation Studios / Disney+,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Questlove, Phylicia Rashad, Daveed Diggs, Angela Bassett, Graham Norton, Rachel House, Richard Ayoade, Alice Braga, Wes Studi",[214]
225,DECEMBER,25,News of the World,Universal Pictures,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel",[215]
226,DECEMBER,25,One Night in Miami,Amazon Studios,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Nicolette Robinson, Lance Reddick",[216]
227,DECEMBER,25,Promising Young Woman,Focus Features / FilmNation Entertainment,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Connie Britton, Laverne Cox",[217]
228,DECEMBER,25,Sylvie's Love,Amazon Studios,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria",[218]
229,DECEMBER,30,Monster Hunter,Screen Gems / Constantin Film / Tencent Pictures / Toho,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman",[219]
