,Opening,Opening.1,Title,Production company,Cast and crew,Ref.
26,FEBRUARY,21,The Call of the Wild,20th Century Studios / TSG Entertainment,"Chris Sanders (director); Michael Green (screenplay); Harrison Ford, Dan Stevens, Omar Sy, Karen Gillan, Bradley Whitford, Colin Woodell",[3]
27,FEBRUARY,21,The Last Thing He Wanted,Netflix,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",[28]
28,FEBRUARY,21,Brahms: The Boy II,STX Films,"William Brent Bell (director); Stacey Menear (screenplay); Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson",[29]
29,FEBRUARY,21,The Night Clerk,Saban Films,"Michael Cristofer (director/screenplay); Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo",[30]
30,FEBRUARY,21,Impractical Jokers: The Movie,truTV / Funny or Die,"Chris Henchy (director/screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray (screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray, Paula Abdul",[31]
31,FEBRUARY,28,The Invisible Man,Universal Pictures / Blumhouse Productions,"Leigh Whannell (director/screenplay); Elisabeth Moss, Aldis Hodge, Storm Reid, Harriet Dyer, Michael Dorman, Oliver Jackson-Cohen",[32]
32,FEBRUARY,28,All the Bright Places,Netflix,"Brett Haley (director); Jennifer Niven, Liz Hannah (screenplay); Elle Fanning, Justice Smith, Alexandra Shipp, Keegan-Michael Key, Luke Wilson",[33]
33,FEBRUARY,28,Wendy,Searchlight Pictures,"Benh Zeitlin (director/screenplay); Eliza Zeitlin (screenplay); Tommie Lynn Milazzo, Shay Walker",[34]
34,FEBRUARY,28,Guns Akimbo,Saban Films / Altitude Films,"Jason Lei Howden (director/screenplay); Daniel Radcliffe, Samara Weaving, Natasha Liu Bordizzo",[35]
35,MARCH,6,Onward,Walt Disney Pictures / Pixar Animation Studios,"Dan Scanlon (director/screenplay); Jason Headley, Keith Bunin (screenplay); Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",[36]
36,MARCH,6,The Way Back,Warner Bros. Pictures / Bron Creative,"Gavin O'Connor (director); Brad Ingelsby (screenplay); Ben Affleck, Al Madrigal, Michaela Watkins, Janina Gavankar, Glynn Turman",[37]
37,MARCH,6,Spenser Confidential,Netflix,"Peter Berg (director); Sean O'Keefe, Brian Helgeland (screenplay); Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Bokeem Woodbine, Marc Maron, Austin Post",[38]
38,MARCH,6,The Banker,Apple TV+,"George Nolfi (director/screenplay); Niceole Levy (screenplay); Anthony Mackie, Nicholas Hoult, Nia Long, Samuel L. Jackson",[39]
39,MARCH,6,The Burnt Orange Heresy,Sony Pictures Classics,"Giuseppe Capotondi (director); Scott Smith (screenplay); Claes Bang, Elizabeth Debicki, Mick Jagger, Donald Sutherland",[40]
40,MARCH,6,Swallow,IFC Films,"Carlo Mirabella-Davis (director/screenplay); Haley Bennett, Austin Stowell, Elizabeth Marvel, David Rasche, Denis O'Hare",[41]
41,MARCH,6,First Cow,A24,"Kelly Reichardt (director/screenplay); Jonathan Raymond (screenplay); John Magaro, Orion Hall, René Auberjonois",[42]
42,MARCH,13,Big Time Adolescence,Hulu,"Jason Orley (director); Jason Orley (screenplay); Pete Davidson, Griffin Gluck, Jon Cryer, Oona Laurence, Sydney Sweeney",[43]
43,MARCH,13,Bloodshot,Columbia Pictures / Cross Creek Pictures / Original Film,"Dave S. F. Wilson (director); Jeff Wadlow, Eric Heisserer (screenplay); Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell, Lamorne Morris, Guy Pearce",[44]
