,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
100,OCT,27.0,Rukh,Atanu Mukherjee,"Manoj Bajpayee, Smita Tambe, Kumud Mishra, Adarsh Gourav",Drama,Eros International Drishyam Films,[157]
101,NOV,3.0,Ittefaq,Abhay Chopra,"Sidharth Malhotra, Sonakshi Sinha & Akshaye Khanna",Thriller,"Dharma Productions, Red Chillies Entertainment & B.R Films",[158]
102,NOV,3.0,The House Next Door,Milind Rau,"Siddharth, Andrea Jeremiah & Atul Kulkarni",Horror,Viacom 18 Motion Pictures & Etaki Entertainment,[159][160]
103,NOV,3.0,Ribbon,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Hitesh Malhan",Drama,Red Cart Films,[161]
104,NOV,10.0,Shaadi Mein Zaroor Aana,Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda",Romance/drama,Vikrant Studios,[162]
105,NOV,10.0,Qarib Qarib Singlle,Tanuja Chandra,"Irrfan Khan, Parvathy, Brijendra Kala",Romance/comedy,Zee Studios & Jar Pictures,[163]
106,NOV,10.0,The Window,VK Choudhary,"Amit Kumar Vashisth, Teena Singh & Preeti Sharma",Suspense thriller,"Adamant Pictures, Milestone Creations & Era Films",[164]
107,NOV,17.0,Aksar 2,Ananth Narayan Mahadevan,"Zareen Khan, Gautam Rode, Abhinav Shukla, Mohit Madaan",Thriller,Siddhi Vinayak Creation,[165]
108,NOV,17.0,Panchlait,Prem Prakash Modi,"Amitosh Nagpal, Anuradha Mukherjee & Yashpal Sharma",Romantic comedy,Funtime Entertainment,[166][167]
109,NOV,17.0,Tumhari Sulu,Suresh Triveni,Vidya Balan & Manav Kaul,Social/Comedy,T-Series,[168][169]
110,NOV,17.0,Dil Jo Na Keh Saka,Naresh Lalwani,"Himansh Kohli, Priya Banerjee",Romantic drama,Diyas Productions,[170]
111,NOV,24.0,Julie 2,Deepak Shivdasani,"Raai Laxmi, Ravi Kishan & Aditya Srivastava",Erotic thriller,Triumph Talkies,[171][172]
112,NOV,24.0,Ajji,Devashish Makhija,"Sudhir Pandey, Sushma Deshpande",Drama,Yoodlee Films,[173][174]
113,NOV,24.0,Kadvi Hawa,Nila Madhab Panda,"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bupesh Singh, Ekta Sawant",Drama/disaster,Drishyam Films,[175]
114,NOV,28.0,Saankal,Dedipya Joshii,"Tanima Bhattacharya, Chetan Sharma, Harish Hariaudh",Drama,Pisceann Pictures,[176]
115,DEC,1.0,Tera Intezaar,Raajeev Waalia,Arbaaz Khan & Sunny Leone,Romantic thriller,Bageshree Films,[177]
116,DEC,1.0,Firangi,Rajiv Dhingra,"Kapil Sharma, Varun Badola & Edward Sonnenblick",Comedy,K9 Films,[178]
117,DEC,8.0,Fukrey Returns,Mrighdeep Singh Lamba,"Pulkit Samrat, Priya Anand, Ali Fazal, Varun Sharma",Comedy,Excel Entertainment,[179][180]
118,DEC,8.0,Game Over,Paresh Vinodray Savani,"Rajesh Sharma, Yashpal Sharma, Gurleen Chopra",Suspense/thriller,"Dream Machine, Koning Entertainment & Dream International",[181]
119,DEC,8.0,Sallu Ki Shaadi,Mohammad Israr Ansari,"Zeenat Aman, Kiran Kumar, Asrani, Kshayp, Arshin and Sandeep Anand",Comedy drama,"Aman Film Production, Angel's Production, Brosis Production House, Worldwide Records",[182]
120,DEC,15.0,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Vijay Varma & Tannishtha Chatterjee",Crime/thriller,Sikhya Entertainment,[183]
121,DEC,22.0,Tiger Zinda Hai,Ali Abbas Zafar,Salman Khan & Katrina Kaif,Action/drama,Yash Raj Films,[184]
