,Opening,Opening.1,Title,Genre,Director,Cast
65,AUG,3,Krishna Aur Kans,Computer-Animated,Vikram Veturi,"Voice-over by Om Puri, Juhi Chawla, Manoj Bajpai, Anupam Kher, A. K. Hangal, Sachin Pilgaonkar, Supriya Pilgaonkar, Prachi Save[54][55]"
66,AUG,8,Gangs of Wasseypur – Part 2,Adult/Crime/Thriller,Anurag Kashyap,"Nawazuddin Siddiqui, Tigmanshu Dhulia, Piyush Mishra, Richa Chadda, Huma Qureshi, Reema Sen[56]"
67,AUG,10,Paanch Ghantey Mien Paanch Crore,Thriller,Faisal Saif,"Meera, Abhishek Kumar, Kavita Radheshyam"
68,AUG,15,Ek Tha Tiger,Romance/Action,Kabir Khan,"Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad[57]"
69,AUG,24,Shirin Farhad Ki Toh Nikal Padi,Romance/Comedy,Bela Sehgal,"Boman Irani, Farah Khan[58]"
70,AUG,31,Joker,Drama,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minnisha Lamba[59]"
71,AUG,31,Jalpari: The Desert Mermaid,Thriller/Social,Nila Madhab Panda,"Rahul Singh, Suhasini Mulay, Lehar Khan, Harsh Mayar, Tannishtha Chatterjee, Parvin Dabas"
72,AUG,31,From Sydney with Love,Romantic,Prateek Chakraborty,"Sharad Malhotra, Prateek Chakraborty, Evelyn Sharma, Bidita Bag[60]"
73,AUG,31,I M 24,Comedy,Saurabh Shukla,"Ranvir Shorey, Neha Dhupia, Saurabh Shukla, Rajat Kapoor, Karan Singh Grover, Manjari Fadnis"
74,SEP,7,Raaz 3: The Third Dimension,Adult/Suspense/Thriller,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[61]"
75,SEP,7,Chal Pichchur Banate Hain,Comedy,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[62]"
76,SEP,14,Barfi!,Romance/Comedy,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[63]"
77,SEP,14,Jeena Hai Toh Thok Daal,Drama,Manish Vatsalya,"Ravi Kishan, Yashpal Sharma, Govind Namdev, Hazel Crowney, Sharat Saxena[64]"
78,SEP,21,Heroine,Adult/Drama,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya Dutta[65]"
79,SEP,28,Kamaal Dhamaal Malamaal,Comedy,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Madhurima[66]"
80,SEP,28,OMG – Oh My God!,Comedy/Fantasy,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim[67]"
81,OCT,5,English Vinglish,Drama,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[68]"
82,OCT,5,Kismet Love Paisa Dilli,Comedy,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[69]"
83,OCT,12,Aiyyaa,Rom-Com,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[70]"
