,Opening,Opening.1,Title,Genre,Director,Cast,Source
0,JAN,3.0,Mr Joe B. Carvalho,Comedy,Samir Tiwari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz",[12]
1,JAN,3.0,Sholay 3D,Action/Adventure,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad Khan, A.K. Hangal",[13]
2,JAN,10.0,Dedh Ishqiya,Black Comedy/Thriller,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi",[14]
3,JAN,10.0,Yaariyan,Romance,Divya Khosla Kumar,"Himansh Kohli, Shreyas Pardiwalla, Dev Sharma, Nicole Faria, Rakul Preet Singh",[15]
4,JAN,17.0,Karle Pyaar Karle,Romance,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur",[16]
5,JAN,17.0,Miss Lovely,Drama,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh",[17]
6,JAN,17.0,Om-Dar-B-Dar,Experimental,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai",[18]
7,JAN,17.0,Paranthe Wali Gali,Romantic comedy,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, Yuvraj Haral",[19]
8,JAN,17.0,Strings of Passion,Drama,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma",[20]
9,JAN,24.0,Jai Ho,Action - comedy,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Sana Khan, Danny Denzongpa, Mohnish Behl, Vatsal Seth, Suniel Shetty, Genelia D'Souza",[21]
10,JAN,31.0,One by Two,Romance/Comedy,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Lilette Dubey, Anish Trivedi",[22]
11,FEB,7.0,Babloo Happy Hai,Comedy,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo Purohit, Mika Singh",[23]
12,FEB,7.0,Hasee Toh Phasee,Romance/Comedy,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma",[24]
13,FEB,7.0,Heartless,Thriller,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar Suman",[25]
14,FEB,7.0,Ya Rab,Drama/Social,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram Singh",[26]
15,FEB,14.0,Gunday,Action,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",[27]
16,FEB,14.0,Kaho Na Kaho,Social,Sanjay Niranjan,"Sikandar, Roshni, Raja",[28]
17,FEB,21.0,Darr @ the Mall,Horror,Pawan Kripalani,"Jimmy Sheirgill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita Bhattacharya",[29]
18,FEB,21.0,Dee Saturday Night,Drama,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen Patel",[30]
19,FEB,21.0,Gulabi Gang,Documentary,Nishtha Jain,Sampat Pal Devi,[31]
20,FEB,21.0,Highway,Drama/Romance,Imtiaz Ali,"Randeep Hooda, Alia Bhatt",[32]
21,FEB,21.0,Karar: The Deal,Thriller,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana",[33]
