,Opening,Opening.1,Title,Director,Cast,Production house,Ref.
46,JUN,15,Lust Stories,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Radhika Apte, Sanjay Kapoor, Kiara Advani, Vicky Kaushal, Neha Dhupia, Neil Bhoopalam, Bhumi Pednekar, Manisha Koirala, Akash Thosar","RSVP Movies, Netflix",[74]
47,JUN,29,Sanju,Rajkumar Hirani,Ranbir KapoorVicky KaushalSonam KapoorDia MirzaParesh RawalManisha KoiralaAnushka Sharma,"Rajkumar Hirani Films, Vinod Chopra Films",[75]
48,JUL,6,Hanuman vs Mahiravana,Ezhil Vendan,,Green Gold Animations,[76]
49,JUL,13,Soorma,Shaad Ali,Diljit DosanjhTaapsee PannuAngad Bedi,Sony Pictures,[77]
50,JUL,20,When Obama Loved Osama,Sudhish Kumar Sharma,Mousam SharmaSwati BakshiRahul AvanaMohit BaghelHeena PanchalHemant PandeyVikas Giri,Shape Entertainment,[78]
51,JUL,20,Dhadak,Shashank Khaitan,Ishaan KhatterJhanvi Kapoor,Dharma Productions,[79]
52,JUL,27,"Saheb, Biwi Aur Gangster 3",Tigmanshu Dhulia,Sanjay DuttJimmy SheirgillMahi GillChitrangada Singh,Wave Cinemas,[80]
53,JUL,27,Nawabzaade,Jayesh Pradhan,Raghav JuyalPunit PathakDharmesh YelandeIsha Rikhi,Remo D'Souza Entertainment,[81]
54,AUG,3,Fanney Khan,Atul Manjrekar,Anil KapoorAishwarya Rai BachchanRajkummar RaoKaran Singh ChhabraDivya Dutta,"T-Series, ROMP, AA Films",[82]
55,AUG,3,Mulk,Anubhav Sinha,Rishi KapoorPrateik BabbarRajat KapoorTaapsee PannuAshutosh RanaManoj PahwaNeena Gupta,Soham Rockstar Entertainment,[83]
56,AUG,3,Brij Mohan Amar Rahe!,Nikhil Bhatt,Arjun MathurNidhi SinghVijayant KohliSunny Hinduja,Yoodlee Films,[84]
57,AUG,3,Laxmi and Tikli Bomb,Aditya Kripalani,Vibhawari DeshpandeSuchitra PillaiChitraganda ChakrabortyUpendra Limaye,Mumba Devi Motion Pictures,[85]
58,AUG,3,Karwaan,Akarsh Khurana,Irrfan KhanDulquer SalmanMithila PalkarKriti Kharbanda,RSVP Movies,[86]
59,AUG,15,Gold,Reema Kagti,Akshay KumarKunal KapoorMouni RoyAmit Sadh,Excel Entertainment,[87][88]
60,AUG,15,Satyameva Jayate,Milap Zaveri,John AbrahamManoj BajpayeeAisha SharmaAmruta Khanvilkar,"T-Series, Emmay Entertainment",[89]
61,AUG,24,Genius,Anil Sharma,Utkarsh SharmaIshita ChauhanNawazuddin SiddiquiAyesha Jhulka,Soham Rockstar Entertainment,[90]
62,AUG,24,Happy Phirr Bhag Jayegi,Mudassar Aziz,Sonakshi SinhaDiana PentyAli FazalJimmy ShergillJassi Gill,"Eros International, Colour Yellow Productions",[91]
63,AUG,24,Toba Tek Singh,Ketan Mehta,Pankaj KapurVinay Pathak,Maya Movies,[92]
