,Rank,Title,Production Company,Distributor,Worldwide Gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
119,,House Arrest,,,,[166],NOV,15.0,Shashanka Ghosh and Samit Basu,Ali FazalShriya PilgaonkarJim Sarbh,"India Stories, Netflix"
120,,Keep Safe Distance,,,,[167][168],NOV,15.0,Raama Mehra,Kiran KumarShahbaz Khan,Rama Dhanraj Production
121,,Marjaavaan,,,,[169],NOV,15.0,Milap Milan Zaveri,Ritesh DeshmukhSidharth MalhotraTara SutariaRakul Preet Singh,"T-Series, Emmay Entertainment"
122,,Motichoor Chaknachoor,,,,[170],NOV,15.0,Debamitra Biswal,Nawazuddin SiddiquiAthiya Shetty,"A Woodpecker Movies Production, Viacom18 Motion Pictures"
123,,Marne Bhi Do Yaaron,,,,[171],NOV,15.0,Kashmira Shah,Krishna AbhishekKashmira ShahRishaab Chauhaan,Boo Filmz
124,,Pagalpanti,,,,[172][173],NOV,22.0,Anees Bazmee,Anil KapoorJohn AbrahamIleana D'CruzArshad WarsiPulkit SamratKriti KharbandaUrvashi RautelaSaurabh Shukla,"T-Series, Panorama Studios"
125,,Ramprasad Ki Tehrvi,,,,[174],NOV,22.0,Seema Pahwa,Naseeruddin ShahSupriya PathakKonkona Sen SharmaVikrant MasseyVinay PathakManoj PahwaParambrata Chatterjee,"Drishyam Films, Jio Studios"
126,,Commando 3,,,,[175][176],NOV,29.0,Aditya Datt,Vidyut JammwalAdah SharmaAngira DharGulshan Devaiah,"Motion Pictures Capital, Reliance Entertainment"
127,,Yeh Saali Aashiqui,,,,[177],NOV,29.0,Cherag Ruparel,Vardhan PuriShivaleeka Oberoi,"Pen India Limited, Amrish Puri Films"
128,,Hotel Mumbai,,,,[178],NOV,29.0,Anthony Maras,Anupam KherDev PatelVipin SharmaSuhail NayyarNazanin BoniadiJason Isaacs,"Zee Studios, Purpose Entertainment, Thunder Road Pictures, Arclight Films, Electric Pictures, Xeitgeist Entertainment Group, ShivHans Pictures"
129,,Line of Descent[d],,,,[179],DEC,4.0,Rohit Karn Batra,Brendan FraserAbhay DeolRonit RoyNeeraj KabiPrem ChopraAli Haji,"Brillstein Entertainment Partners, Invisible Man Pictures, Level Street Pictures"
130,,Panipat,,,,[180][181],DEC,6.0,Ashutosh Gowariker,Sanjay DuttArjun KapoorKriti SanonMohnish Bahl,Ashutosh Gowariker Productions Private Limited
131,,Pati Patni Aur Woh,,,,[182],DEC,6.0,Mudassar Aziz,Kartik AaryanBhumi PednekarAnanya Panday,"T-Series, B.R. Studios"
132,,Mardaani 2,,,,[183],DEC,13.0,Gopi Puthran,Rani MukerjiVikram Singh ChauhanShruti BapnaRajesh SharmaSudhanshu Pandey,Yash Raj Films
133,,The Body,,,,[184],DEC,13.0,Jeethu Joseph,Emraan HashmiRishi KapoorVedhikaSobhita Dhulipala,Viacom18 Motion Pictures
134,,Dabangg 3,,,,[185],DEC,20.0,Prabhu Deva,Salman KhanSonakshi SinhaSudeepSaiee ManjrekarArbaaz Khan,"Arbaaz Khan Productions, Salman Khan Films"
135,,Happi,,,,[186],DEC,25.0,Bhavna Talwar,Pankaj KapoorSupriya PathakHrishitaa Bhatt,"Vistaar Film Fund, WSG Pictures"
136,,Good Newwz,,,,[187],DEC,27.0,Raj Mehta,Akshay KumarKareena KapoorDiljit DosanjhKiara Advani,"Dharma Productions, Cape Of Good Films"
