,Opening,Opening.1,Title,Genre,Director,Cast,Source
40,MAY,1.0,Bombay Talkies,Anthology,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[43]",
41,MAY,1.0,Chhota Bheem and the Throne of Bali,Children/Animation,Rajiv Chilaka,,[44]
42,MAY,4.0,Savita Bhabhi,Adult Animation,Puneet Agarwal,Rozlyn Khan,[45]
43,MAY,10.0,Go Goa Gone,Zombie Comedy,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[46]",
44,MAY,10.0,Gippi,Coming of age,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[47]",
45,MAY,17.0,Aurangzeb,Drama/Action,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[48]",
46,MAY,17.0,I Don't Luv U,Romantic Drama,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[49]",
47,MAY,17.0,Beehad - The Ravines,Drama,Krishna Mishra,"Vikas Shrivastav, Maan Singh Deep, Mangal Singh, Deepa",
48,MAY,24.0,Ishkq in Paris,Romance,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[50]",
49,MAY,24.0,Hum Hai Raahi Car Ke,Romantic comedy,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[51]",
50,MAY,24.0,Zindagi 50-50,Adult/Social,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[52]",
51,MAY,31.0,Yeh Jawaani Hai Deewani,Romantic comedy,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor[53]",
52,JUN,7.0,Yamla Pagla Deewana 2,Comedy/Action,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[54]",
53,JUN,14.0,Fukrey,Comedy/Thriller,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[55]",
54,JUN,14.0,Ankur Arora Murder Case,Thriller,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[56]",
55,JUN,21.0,Raanjhanaa,Romance,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub Khan[57]",
56,JUN,21.0,Enemmy,Action,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[58]",
57,JUN,21.0,Shortcut Romeo,Romantic Thriller,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[59]",
58,JUN,28.0,Ghanchakkar,Comedy/Thriller,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan, Rajesh Sharma[60]",
59,JUL,5.0,Lootera,"Romance, Thriller",Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[61]",
60,JUL,5.0,Policegiri,Action,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[62]",
61,JUL,12.0,Bhaag Milkha Bhaag,Biographical,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[63]",
62,JUL,12.0,Sixteen,Drama,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[64]",
63,JUL,12.0,B.A. Pass,Drama,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[65]",
64,JUL,12.0,Boyss Toh Boyss Hain,Comedy,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[66]",
65,JUL,19.0,Ramaiya Vastavaiya,Rom-Com,Prabhudeva,"Girish Kumar, Shruti Haasan[67]",
66,JUL,19.0,D Day,"Action, Drama",Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[68]",
67,JUL,19.0,Ship of Theseus,Experimental,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[69]",
68,JUL,26.0,Issaq,"Romance, Drama",Manish Tiwary,"Prateik Babbar, Amyra Dastur, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[70]",
69,JUL,26.0,Bajatey Raho,Comedy,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[71]",
70,JUL,26.0,Luv U Soniyo,Romance,Joe Rajan,"Tanuj Virwani, Neha Hinge[72]",
71,JUL,26.0,Nasha,"Erotic, Thriller",Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[73]",
72,AUG,2.0,Rabba Main Kya Karoon,Comedy,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Paresh Rawal[74]",
73,AUG,2.0,Chor Chor Super Chor,Comedy,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[75]",
74,AUG,2.0,Calapor,"Thriller, Drama",Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[76]",
75,AUG,2.0,Love in Bombay,Romance,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[77]",
76,AUG,9.0,Chennai Express,"Comedy, Action",Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[78]",
77,AUG,15.0,Once Upon Ay Time In Mumbai Dobaara!,"Crime, Romance",Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[79]",
78,AUG,23.0,Madras Cafe,"Drama, Spy",Shoojit Sircar,"John Abraham, Nargis Fakhri",
79,AUG,30.0,Satyagraha,Political Thriller,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[80]",
