,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
25,FEB,28.0,Doordarshan,Gagan Puri,Mahie GillManu Rishi ChaddhaDolly AhluwaliaSupriya ShuklaRajesh SharmaMehak ManwaniSumit Gulati,"Arya Films, UFO Moviez",[38]
26,FEB,28.0,Guns of Banaras,Sekhar Suri,Karan NathNathalia KaurAbhimanyu SinghGanesh VenkatramanShilpa ShirodkarZarina WahabMohan AgasheTej Sapru,"AJ Media Corp, Dashaka Cinema Co Production",[39]
27,FEB,28.0,Haunted Hills,Sanjeev Kumar Rajput,Zuber K. KhanDiana Khan,"RSBS Films, UFO Moviez",[40]
28,FEB,28.0,O Pushpa I Hate Tears,Dinkar Kapoor,Krushna AbhishekKarthik JayaramArjumman Mughal,"Films@50, Wavelength Studios",[41]
29,FEB,28.0,Thappad,Anubhav Sinha,Taapsee PannuPavail GulatiMaya SaraoNaila Grewal,"Benaras Media Works, T-Series",[42]
30,MAR,2.0,Dheet Patangey,Ravi Adhikari,Shivin NarangChandan Roy SanyalAli MuradHardik SanghaniTillotama ShomePriya Banerjee,"Happi Digital,Hotstar",[43]
31,MAR,6.0,Baaghi 3,Ahmed Khan,Tiger ShroffRiteish DeshmukhShraddha KapoorAnkita Lokhande,"Nadiadwala Grandson Entertainment, Fox Star Studios",[44]
32,MAR,6.0,Guilty,Ruchi Narain,Kiara AdvaniAkansha Ranjan KapoorGurfateh Singh PirzadaTaher ShabbirDalip TahilKunal VijaykarManu RishiJanya JoshiChayan Chopra,"Dharmatic, Netflix",[45]
33,MAR,6.0,Kaamyaab,Hardik Mehta,Sanjay MishraDeepak Dobriyal,"Red Chillies Entertainment, Drishyam Films",[46]
34,MAR,13.0,Angrezi Medium,Homi Adajania,Irrfan KhanKareena KapoorRadhika MadanDeepak DobriyalPankaj Tripathi,Maddock Films,[47]
35,MAR,27.0,Maska,Neeraj Udhwani,Manisha KoiralaNikita DuttaJaved JaffreyPrit KamaniShirley Setia,"Mutant Films, Netflix",[48]
36,APR,10.0,Bamfaad,Ranjan Chandel,Aditya RawalShalini PandeyVijay Varma,"JAR Pictures, ZEE5",[51]
37,APR,21.0,Ateet,Tanuj Bhramar,PriyamaniSanjay SuriRajeev Khandelwal,"Funtime Entertainment, Indian Film Studios, ZEE5",[52]
